RestaurantNameRatings;OSM
Restaurant Neuburg;Bangkok Karaoke
Restaurant Neumarkt;Schneider
Restaurant Ochsen;EMMA Bett und Bistro
Restaurant Orsini;Lou Salomé
Restaurant Palmera;Gottlieber
Restaurant Panetteria;Boilerroom
Restaurant Pizzeria Bellevue;Yooji's
Restaurant Pizzeria Friedtal;Les Coulisses
Restaurant Pizzeria La Pergola;Café Restaurant Urban
Restaurant Pizzeria Rosenberg;Café Roman
Restaurant Rössli;Café «Am Römerholz»
Restaurant Schloss Wülflingen;eve Bar & Lounge
Restaurant Schützenhaus;Residenz Café
Restaurant Sonneck;Frohsinn Eidberg
Restaurant Sonnenfeld;Pionier
Restaurant Taggenberg;Echt KungFu
Restaurant Technorama;Trois Tilleuls
Restaurant The Billabong;Villa Sträuli
Restaurant Trübli;Stadtrain
Restaurant Weinberg Wülflingen;Habibi
Restaurant Zum Löwen;Kebab Treff Oberwinterthur
Restaurant zur Sonne AG Winterthur;Negishi Sushi Bar
Rice Up!;Gutschick
Rice Up! Winterthur;Gianni's
Ristorante - Pizzeria Cardinal;Nachbarsgarten
Ristorante Caruso;Gastronomie am Gleis
Ristorante Entreprenere;Thai Bistro
Ristorante Pizzeria Villa Duchessa;Café Kunterbunt
Ristorante Rosa dei Venti;Ristorante Caruso
Riva Bar;Sanook
Rosa Pulver;Castello
Rosen Restaurant Pizzeria;Euro Pizza
Royal Restaurant;Dieci Pizzakurier
Saffron Restaurant;Kongresshaus Liebestrasse
Santa Lucia;Viet-Long
Santa Lucia Winterthur;Bocciodromo Pizzeria
Schafli;Il Sapore
Showroom Vinothek Pavin;Wirtschaft Zur Eintracht
Siam Chili;Neuburg
Simply Thai;Grotto Maienried
Spanish Harlem NYC;Argentina
Sporrer;By Elvis
SteibiChuchi;Rüzgar
STRAUSS | Restaurant | Vineria & Bar;Anadolu Imbiss
STRAUSS Restaurant - Vineria & Bar;Anita Bar
Stricker's;Billardcenter Borsalino
Stricker's Restaurant & Bar;Fabi Imbiss
SuanLong;Destiny 1
Subway;McQueen Fumoir
Sumak Sumak;Couleur Bar
Tandoor Restaurant;Café Wyden
Taste Of Asia Nattana Thai Restaurant;Toodog Sushi
Taverne zum Hirschen;Café Mélange
Tearoom Teekult;Carl's Jr.
Terracina;Weroz
Thai Bistro;Sport Café
Thai Lotos Garden;La Pizza Pasta
Thai Restaurant Bamboo;Victoria
The Scotsman;Sultan
Thurbinä;Taste of Asia
Tibet Bistro;Princess
tibits Winterthur;Krone Pub
Tom Yam;Feuerstelle
Trattoria Da Mario;Domino's Pizza
Trattoria La Torre;Villa Duchessa
Tres Amigos;Migros Take-Away
Tres Amigos Winterthur;Nuu’s Thai Kitchen
Typisch Thai;Da Cristina
Viet-Long;Allmanns Trend Food
Viêt-Long Take Away, Restaurant & Kurier;Caleiro Bar
Villa Strauli Bistro;Rosen
Vinothek Gran Reserva;Molly Malone
Wein-Punkt;Hi und da
Western Saloon Restaurant Harmonie;Bären
William's Asia Restaurant;Da Cosimo
Wintialp;Il Gelatino
Wintikanne;Ziegelhütte
Wirtschaft zum Lindenhof;Santa Rosa
Wirtschaft zur Eintracht;Beans & Balls
Wirtshaus zur Krone;Thaifood Like
Yooji's Kesselhaus;Yosry’s ägyptischer Imbiss
Zum goldenen Horn;Saffron
Zum Grünen Hund;Burger King
Zum Hinteren Hecht;Bistro Auwiesen
Zur Sonne;Çakllani
;Lani
;COALMINE Café
;Mira Mare
;Incontro
;Terracina
;Grütli
;Sabi's Genuss Bistro
;Restaurant Rossberg
;Erb
;Wirtschaft zum Landhaus
;Monte Civetta
;Restaurant Rathaus
;Roxy Vinyl Cafe
;Seen Pizza - Kebab
;Sherazad
;doode Coffee World
;House of Grill
;Domino's
;Tandoor Restaurant + Takeaway
;Hasan's Sandwich
;Restaurant Schwimmbad Wolfensberg
;T4 Steibi
;Frischtheke
;Pizza con Amore
;JC's Housecafe
;Esse Musicbar
;Fondue Keller
;Wintimomo
;CUBE3
;Ristorante ConCordia
;Conditorei Bäckerei Spatz
;Coffee Box Snack Bar
;Kebab Treff
;Asiaway Restaurant
;ARCHiE Hot Dog Factory
;Asiaway Lounge
;Café Archhöfe
;My Home
;Pura Vida
;Hinterer Hecht
;Cross
;Industriehalle
;Big Burger
;Indian King with Pizza
;Brasserie Reh
;Wildrose Bistro
;Grüner Saal
;Jimmy's
;Hans im Glück
;Oberi Pizza
;BurgerChuchi
;Tayyeb Burger
;Gelati Schulgasse
;Kafi Ziegelstei
;B51
;Erpot
;Frau Hund
;70/30
;Himmellounge
;HegiKern
;China Bowl
;Suan Long
;City Grill
;Tenz Momo
;Oh My Greek
;Viet Long
;Kafi Theodor
;Mini Golf
;oh' bois
;Coop Restaurant Winterthur City
;Bistro 15
;Rauke
;LOK.AL
;Loilly
;MoBeeThai
;Aymez Grill House
;Blumen-Café Fany
;Dachterrasse zum Wiedehopf
;Cafè Spettacolo
;Sumak Sumak
;A Modo Mio
;Thai Take Away
;Lux
;Vio
;brewhouse Winterthur
;Kornhaus
;Schlosstal
;Shadi's Food
;Sherpa MoMo & Sushi Takeaway
;Ammas Curry
;Keren Bar
;Gocha
;Wintialp
;Clubrestaurant La Gloria
;Ristorante La Rosa
;Salon Erika
;Transit Laden + Bistro
;Bistro Villa Sträuli
;Pizzeria Don Camillo
